tax.id	count
Others (Various species)	104
Faecalibacterium prausnitzii	100
Faecalibacterium sp.	30
Blautia wexlerae	14
Phocaeicola vulgatus	14
Bacteroides dorei	10
Siphoviridae sp.	10
Uncultured human fecal virus clone	10
Bacteriophage sp.	9
Parabacteroides merdae	9
Bacteroides xylanisolvens	8
Caudovirales sp.	8
Bacteroides ovatus	7
Bacteroides uniformis	7
Dorea longicatena	7
Lachnospiraceae bacterium	7
Blautia massiliensis	6
Faecalibacterium duncaniae	6
Anaerostipes hadrus	5
Eubacterium rectale	5
Myoviridae sp.	5
Subdoligranulum variabile	5
Clostridiaceae bacterium	4
Eubacterium sp.	4
Parabacteroides johnsonii	4
Paraprevotella xylaniphila	4
Phocaeicola dorei	4
Romboutsia ilealis	4
Ruminococcus torques	4
Anaerobutyricum hallii	3
Bacteroides thetaiotaomicron	3
