transcript.id	024_B2	074_B2	090_subseq	146_B1	153_B3	258_B3
TRINITY_DN612741_c0_g1_i1	47	0	4	1	1	1
TRINITY_DN612198_c2_g1_i1	13	0	0	513	0	105
TRINITY_DN615414_c0_g1_i1	1	0	0	194	0	10
TRINITY_DN142511_c2_g2_i11	0	0	1	2	0	1
TRINITY_DN142526_c5_g1_i7	2	0	0	32	0	2
TRINITY_DN127733_c0_g2_i2	1	0	2	1	0	1
TRINITY_DN143036_c3_g1_i1	8	0	1	14	2	6
TRINITY_DN143096_c2_g1_i1	79	6	8	4479	0	477
TRINITY_DN143169_c2_g1_i6	21	0	1	0	0	4
TRINITY_DN143156_c8_g1_i3	2	0	7	1	0	18
TRINITY_DN135554_c0_g1_i3	2	0	2	0	0	1
TRINITY_DN135543_c0_g2_i1	1	0	2	0	0	29
TRINITY_DN144897_c3_g1_i5	14	1	25	0	0	0
TRINITY_DN144878_c1_g1_i1	16	71	15	19	1	11
TRINITY_DN142590_c2_g1_i1	0	0	6	0	1	2
TRINITY_DN142562_c4_g9_i3	13	0	3	0	0	12
TRINITY_DN136312_c3_g1_i18	0	0	1	1	0	1
TRINITY_DN133479_c0_g1_i1	1	0	0	3	0	2
TRINITY_DN145551_c2_g2_i1	6	0	127	0	89	2
TRINITY_DN145601_c1_g1_i10	3	0	0	291	0	2
TRINITY_DN145575_c0_g1_i3	0	0	0	11	0	7
TRINITY_DN145595_c1_g1_i27	56	0	0	83	0	24
TRINITY_DN145548_c0_g2_i1	0	0	0	3	2	1
TRINITY_DN145548_c1_g1_i5	4	0	1	0	0	0
TRINITY_DN145062_c3_g1_i3	0	0	0	14	0	16
TRINITY_DN145055_c3_g1_i3	0	0	0	136	0	50
TRINITY_DN145050_c1_g1_i3	394	49	1	0	17	2
TRINITY_DN133942_c0_g1_i2	9	0	0	7	0	1
TRINITY_DN140586_c3_g1_i1	0	0	0	1	0	19
TRINITY_DN142922_c7_g5_i2	1	0	1	16	0	0
TRINITY_DN142862_c0_g1_i1	49	51	1	0	174	2
TRINITY_DN102902_c0_g1_i1	0	0	0	3	0	1
TRINITY_DN125192_c2_g1_i1	0	0	0	1	0	29
TRINITY_DN140335_c3_g1_i1	2	2	0	0	0	2
TRINITY_DN144720_c1_g1_i6	1	0	1	0	0	0
TRINITY_DN144653_c7_g8_i1	17	0	37	407	55	306
TRINITY_DN144690_c1_g2_i6	69	0	0	79	5	13
TRINITY_DN144690_c1_g2_i9	122	0	5	176	0	38
TRINITY_DN144643_c3_g1_i1	2	0	1	23	0	8
TRINITY_DN144633_c0_g1_i1	26	0	1	1	0	1
TRINITY_DN144672_c0_g1_i1	9	3	3	8	0	1
TRINITY_DN144673_c2_g1_i6	3	0	0	419	0	4
TRINITY_DN145645_c0_g1_i6	5	0	0	4	5	0
TRINITY_DN145645_c0_g1_i14	1	0	1	1	0	0
TRINITY_DN145717_c0_g1_i3	0	1	3	0	0	4
TRINITY_DN145655_c4_g1_i2	70	28	2	0	0	45
TRINITY_DN139720_c6_g2_i1	0	0	1	5	0	1
TRINITY_DN145252_c3_g1_i1	2	0	0	3529	0	24
TRINITY_DN145261_c61_g1_i4	1	0	94	0	22	14
TRINITY_DN145292_c1_g1_i1	10	0	3	12	0	3
TRINITY_DN145300_c5_g1_i3	118	1	0	214	0	31
TRINITY_DN145272_c4_g1_i1	24	0	0	1904	0	9
TRINITY_DN145304_c3_g1_i2	1	0	0	6	0	4
TRINITY_DN145297_c11_g1_i1	7	0	1	0	0	0
TRINITY_DN145245_c6_g1_i2	9	6	10	419	0	154
TRINITY_DN145245_c6_g1_i5	33	0	0	0	14	8
TRINITY_DN145291_c1_g1_i10	11	0	0	579	0	6
TRINITY_DN145291_c1_g1_i13	13	0	0	605	0	11
TRINITY_DN145291_c1_g1_i22	4	0	0	135	0	4
TRINITY_DN145264_c2_g1_i1	29	0	4	0	0	9
TRINITY_DN120464_c0_g1_i1	2	0	0	19	0	1
TRINITY_DN137096_c2_g1_i1	1	0	1	0	0	1
TRINITY_DN137096_c3_g3_i1	2	0	0	1	0	4
TRINITY_DN143985_c1_g7_i1	43	0	19	0	0	49
TRINITY_DN144001_c5_g1_i7	36	55	6	13	0	8
TRINITY_DN143974_c9_g2_i1	1	0	1	0	0	2
TRINITY_DN144025_c2_g1_i1	24	0	0	0	12	1
TRINITY_DN140448_c4_g7_i2	3	0	1	0	223	0
TRINITY_DN133076_c0_g4_i1	1	0	2	42	0	30
TRINITY_DN144424_c2_g1_i2	9	2	1	0	4	0
TRINITY_DN144415_c2_g1_i4	27	0	0	522	0	31
TRINITY_DN144384_c5_g1_i3	2	0	1	2	0	5
TRINITY_DN141948_c0_g1_i1	1	0	3	0	0	3
TRINITY_DN134643_c0_g1_i1	0	0	0	10	0	1
TRINITY_DN144196_c3_g1_i2	7	0	0	0	3	1
TRINITY_DN144196_c3_g1_i4	12	0	1	0	0	8
TRINITY_DN144187_c0_g1_i10	0	0	0	21	0	4
TRINITY_DN145141_c0_g1_i13	10	0	1	0	0	2
TRINITY_DN145209_c1_g1_i7	8	0	4	0	0	0
TRINITY_DN145228_c1_g1_i7	1	0	0	2	0	2
TRINITY_DN136668_c3_g2_i2	2	0	2	140	0	0
TRINITY_DN138543_c2_g6_i1	29	1	1	0	0	2
TRINITY_DN138543_c2_g6_i2	1	0	2	0	0	2
TRINITY_DN142388_c1_g1_i2	6	0	5	0	4	3
TRINITY_DN142340_c0_g1_i1	3	0	0	7	0	1
TRINITY_DN142402_c3_g5_i2	12	0	4	0	0	28
TRINITY_DN143487_c2_g1_i3	2	0	1	1	0	0
TRINITY_DN143457_c1_g1_i1	0	0	1	8	0	5
TRINITY_DN141022_c2_g2_i1	1	0	1	0	0	4
TRINITY_DN140952_c1_g1_i1	5	0	2	0	0	0
TRINITY_DN138674_c4_g1_i1	6	31	0	0	249	14
TRINITY_DN138681_c7_g1_i1	5	0	0	0	57	2
TRINITY_DN145391_c5_g1_i6	9	0	0	0	0	4
TRINITY_DN145391_c5_g1_i9	0	0	0	126	8	8
TRINITY_DN145389_c1_g1_i12	0	0	7	1	0	2
TRINITY_DN145360_c4_g1_i1	6	4	0	13	0	182
TRINITY_DN145367_c3_g1_i1	8	0	0	0	15	49
TRINITY_DN145422_c2_g1_i12	1	0	2	6	0	0
TRINITY_DN145373_c0_g1_i2	2	0	5	0	0	2
TRINITY_DN145401_c1_g1_i2	35	0	9	198	0	18
TRINITY_DN145854_c3_g1_i2	37	0	1	105	4	13
TRINITY_DN145839_c0_g1_i20	4	0	0	618	0	5
TRINITY_DN141075_c3_g1_i1	17	25	0	1	0	4
TRINITY_DN141075_c3_g1_i2	8	2	1	0	0	0
TRINITY_DN144474_c1_g1_i1	2	0	7	0	0	0
TRINITY_DN144465_c6_g1_i3	37	0	1	2	0	26
