"Var1"	"Var2"	"value"	"pvalue"
"k__Bacteria.p__Actinobacteria.c__Coriobacteriia"	"TRINITY_DN144653_c7_g8_i1"	0.892857142857143	0.00680718740893527
"k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales"	"TRINITY_DN144653_c7_g8_i1"	0.892857142857143	0.00680718740893527
"k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae"	"TRINITY_DN144653_c7_g8_i1"	0.892857142857143	0.00680718740893527
"k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae.g__Collinsella"	"TRINITY_DN144653_c7_g8_i1"	0.892857142857143	0.00680718740893527
"k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae.g__Collinsella.s__aerofaciens"	"TRINITY_DN144653_c7_g8_i1"	0.828571428571429	0.0415626822157433
"k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae.g__Collinsella.s__aerofaciens"	"TRINITY_DN144672_c0_g1_i1"	-0.828571428571429	0.0415626822157433
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Faecalibacterium"	"TRINITY_DN145245_c6_g1_i2"	-0.821428571428571	0.0234488083456914
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Faecalibacterium.s__prausnitzii"	"TRINITY_DN145245_c6_g1_i2"	-0.821428571428571	0.0234488083456914
"k__Bacteria.p__Bacteroidetes"	"TRINITY_DN145548_c0_g2_i1"	0.927633657043918	0.00766584418747307
"k__Bacteria.p__Firmicutes"	"TRINITY_DN145548_c0_g2_i1"	-0.985610760609162	0.000309085667849818
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia"	"TRINITY_DN145548_c0_g2_i1"	0.927633657043918	0.00766584418747307
"k__Bacteria.p__Firmicutes.c__Clostridia"	"TRINITY_DN145548_c0_g2_i1"	-0.985610760609162	0.000309085667849818
