sample	reads	relative_abundance	log10	coverage
H-10	0	0	0	0
H-118	143	4.41E-05	2.158362492	0.0652781
H-119	0	0	0	0
H-120	2	1.02E-06	0.477121255	0.000835592
H-124	0	0.00E+00	0	0
H-147	0	0	0	0
H-161	32	1.31E-05	1.51851394	0.0350745
H-169	0	0	0	0
H-193	1	4.99E-07	0.301029996	0.0026902
H-314	0	0	0	0
O-121	10	3.21E-06	1.041392685	0.0228871
O-122	1	5.90E-07	0.301029996	0.0026902
O-123	9	2.52E-05	1	0.0199931
O-152	84	3.22E-05	1.929418926	0.0543747
O-39	0	0.00E+00	0	0
O-418	0	0	0	0
O-420	0	0	0	0
O-434	0	0	0	0
O-445	0	0.00E+00	0	0
O-90	0	0	0	0
OMC-124	0	0	0	0
OMC-125	2	7.71E-07	0.477121255	0.00533964
OMC-126	2	8.78E-07	0.477121255	0.0030978
OMC-288	0	0	0	0
OMC-446	0	0	0	0
OMC-55	0	0	0	0
OMC-64	0	0	0	0
OMC-87	0	0	0	0
