sample	reads	relative_abundance	log10
H-10	0	0	0
H-118	47	1.44986E-05	1.681241237
H-119	0	0	0
H-120	3	1.52664E-06	0.602059991
H-124	1	5.16373E-07	0.301029996
H-147	0	0	0
H-161	23	9.4204E-06	1.380211242
H-169	0	0	0
H-193	3	1.49723E-06	0.602059991
H-314	0	0	0
O-121	2	6.42863E-07	0.477121255
O-122	7	4.12897E-06	0.903089987
O-123	0	0	0
O-152	21	8.05561E-06	1.342422681
O-39	1	8.41297E-07	0.301029996
O-418	0	0	0
O-420	0	0	0
O-434	0	0	0
O-445	2	2.50118E-06	0.477121255
O-90	0	0	0
OMC-124	0	0	0
OMC-125	2	7.70624E-07	0.477121255
OMC-126	20	8.77968E-06	1.322219295
OMC-288	0	0	0
OMC-446	0	0	0
OMC-55	0	0	0
OMC-64	0	0	0
OMC-87	0	0	0
