tax.id	count
Faecalibacterium prausnitzii	115
Siphoviridae sp.	7
uncultured human fecal virus	7
Anaerostipes hadrus	5
Clostridiaceae bacterium Marseille-Q4143	4
Lachnospiraceae bacterium	4
Paraprevotella xylaniphila	4
Anaerobutyricum hallii	3
Myoviridae sp.	3
Roseburia intestinalis	3
Ruminococcus torques	3
Blautia argi	2
Blautia obeum	2
Coprococcus comes	2
Roseburia hominis	2
Ruminococcus bicirculans	2
Ruthenibacterium lactatiformans	2
Clostridium scindens	2
Ruminococcus gnavus	2
Bacteroides caccae	1
Bacteroides xylanisolvens	1
Barnesiella viscericola	1
Christensenella sp. MSJ-20	1
Clostridium sp. CT4	1
Dysosmobacter sp. Marseille-Q4140	1
Eggerthella lenta	1
Escherichia coli	1
Flavonifractor plautii	1
Lachnospiraceae bacterium NSJ-29	1
Odoribacter splanchnicus	1
Opuntia virus 2	1
Phage sp. ctXnn1	1
Phocaeicola vulgatus	1
Pusillimonas faecalis	1
Romboutsia ilealis	1
Sarcina sp. JB2	1
Sutterella wadsworthensis	1
Terrisporobacter sp. MCA3	1
Vescimonas fastidiosa	1
uncultured Blautia sp.	1
uncultured Sutterella sp.	1
