list(file = "./GQ874230.1.gff3", start = 1166, end = 936),
list(file = "./GQ873874.1.gff3", start = 1041, end = 1346),
list(file = "./CP083682.1.gff3", start = 448054, end = 447998),
list(file = "./CP083682.1.gff3", start = 445316, end = 445128),
list(file = "./CP083682.1.gff3", start = 95, end = 322),
list(file = "./CP083682.1.gff3", start = 2887942, end = 2887328),
list(file = "./CP103114.1.gff3", start = 612516, end = 612460),
list(file = "./CP103114.1.gff3", start = 609776, end = 609071),
list(file = "./CP103206.1.gff3", start = 3302773, end = 3302829),
list(file = "./CP103206.1.gff3", start = 3305513, end = 3306216),
list(file = "./CP041230.1.gff3", start = 5586323, end = 5586267),
list(file = "./CP041230.1.gff3", start = 5583585, end = 5582882),
list(file = "./CP143941.1.gff3", start = 4651864, end = 4651808),
list(file = "./CP143941.1.gff3", start = 4649126, end = 4648422),
list(file = "./CP113514.1.gff3", start = 5658599, end = 5658655),
list(file = "./CP113514.1.gff3", start = 5661338, end = 5662042),
list(file = "./CP103130.1.gff3", start = 5653664, end = 5653608),
list(file = "./CP103130.1.gff3", start = 5650926, end = 5650222),
list(file = "./CP103094.1.gff3", start = 3368543, end = 3368599),
list(file = "./CP103094.1.gff3", start = 3371281, end = 3371985),
list(file = "./CP103098.1.gff3", start = 5848457, end = 5848401),
list(file = "./CP103098.1.gff3", start = 5845719, end = 5845015),
list(file = "./CP103172.1.gff3", start = 612446, end = 612390),
list(file = "./CP103172.1.gff3", start = 609706, end = 609002),
list(file = "./CP075195.1.gff3", start = 6347302, end = 6347246),
list(file = "./CP075195.1.gff3", start = 6344564, end = 6343860),
list(file = "./CP081908.1.gff3", start = 1908617, end = 1908561),
list(file = "./CP081908.1.gff3", start = 1905879, end = 1905175),
list(file = "./CP075193.1.gff3", start = 6339890, end = 6339834),
list(file = "./CP075193.1.gff3", start = 6337152, end = 6336448),
list(file = "./CP072244.1.gff3", start = 4269417, end = 4269361),
list(file = "./CP072244.1.gff3", start = 4266679, end = 4265975),
list(file = "./CP072224.1.gff3", start = 6484597, end = 6484653),
list(file = "./CP072224.1.gff3", start = 6487335, end = 6488039),
list(file = "./CP083679.1.gff3", start = 250404, end = 250348),
list(file = "./CP083679.1.gff3", start = 247666, end = 246962),
list(file = "./CP103274.1.gff3", start = 6682932, end = 6682876),
list(file = "./CP103274.1.gff3", start = 6676632, end = 6675928),
list(file = "./CP083686.1.gff3", start = 2086568, end = 2086512),
list(file = "./CP083686.1.gff3", start = 2083830, end = 2083126),
list(file = "./CP103191.1.gff3", start = 612366, end = 612310),
list(file = "./CP103191.1.gff3", start = 609629, end = 608925),
list(file = "./CP103210.1.gff3", start = 6292593, end = 6292537),
list(file = "./CP103210.1.gff3", start = 6289855, end = 6289151),
list(file = "./CP120351.1.gff3", start = 4939647, end = 4939703),
list(file = "./CP120351.1.gff3", start = 4942385, end = 4943089),
list(file = "./CP041395.1.gff3", start = 3475746, end = 3475690),
list(file = "./CP041395.1.gff3", start = 3473008, end = 3472304),
list(file = "./CP012937.1.gff3", start = 2039288, end = 2039344),
list(file = "./CP012937.1.gff3", start = 2042026, end = 2042730),
list(file = "./CP083673.1.gff3", start = 3797762, end = 3797706),
list(file = "./CP083673.1.gff3", start = 3795024, end = 3794320),
list(file = "./CP081917.1.gff3", start = 4251024, end = 4251080),
list(file = "./CP081917.1.gff3", start = 4253762, end = 4254466),
list(file = "./CP103069.1.gff3", start = 5560218, end = 5560162),
list(file = "./CP103069.1.gff3", start = 5557479, end = 5556775),
list(file = "./CP045612.1.gff3", start = 6090198, end = 6090254),
list(file = "./CP045612.1.gff3", start = 6092936, end = 6093640),
list(file = "./CP072258.1.gff3", start = 2522506, end = 2522562),
list(file = "./CP072258.1.gff3", start = 2525244, end = 2525948),
list(file = "./CP072239.1.gff3", start = 59503, end = 59447),
list(file = "./CP072239.1.gff3", start = 56765, end = 56061),
list(file = "./CP103141.1.gff3", start = 6803581, end = 6803525),
list(file = "./CP103141.1.gff3", start = 6800842, end = 6800138),
list(file = "./CP103228.1.gff3", start = 6683076, end = 6683020),
list(file = "./CP103228.1.gff3", start = 6676776, end = 6676072),
list(file = "./CP083681.1.gff3", start = 565072, end = 565016),
list(file = "./CP083681.1.gff3", start = 562334, end = 561630),
list(file = "./CP103100.1.gff3", start = 6345764, end = 6345820),
list(file = "./CP103100.1.gff3", start = 6348502, end = 6349206),
list(file = "./CP103118.1.gff3", start = 640853, end = 640797),
list(file = "./CP103118.1.gff3", start = 638114, end = 637410),
list(file = "./CP103082.1.gff3", start = 2905574, end = 2906317),
list(file = "./CP107195.1.gff3", start = 3418922, end = 3418179),
list(file = "./CP046426.1.gff3", start = 1630382, end = 1629639),
list(file = "./CP046424.1.gff3", start = 1751737, end = 1750994),
list(file = "./CP103166.1.gff3", start = 3176835, end = 3176891),
list(file = "./CP103166.1.gff3", start = 3179575, end = 3180279),
list(file = "./CP103166.1.gff3", start = 4957199, end = 4957942),
list(file = "./AP019724.1.gff3", start = 988001, end = 987258),
list(file = "./CP046425.1.gff3", start = 1631416, end = 1630673),
list(file = "./CP103125.1.gff3", start = 5392741, end = 5391998),
list(file = "./CP083675.1.gff3", start = 218409, end = 217666),
list(file = "./CP083680.1.gff3", start = 5750504, end = 5751247),
list(file = "./CP126057.1.gff3", start = 72152, end = 71409)


list(file = "./CP103114.1.gff3", start = 599776, end = 619071),
list(file = "./CP103206.1.gff3", start = 3295513, end = 3316216),
list(file = "./CP041230.1.gff3", start = 5573585, end = 5592882),
list(file = "./CP143941.1.gff3", start = 4639126, end = 4658422),
list(file = "./CP113514.1.gff3", start = 5651338, end = 5672042),
list(file = "./CP103130.1.gff3", start = 5640926, end = 5660222),

list(file = "./CP103094.1.gff3", start = 3361281, end = 3381985),
list(file = "./CP103098.1.gff3", start = 5835719, end = 5855015),
list(file = "./CP103172.1.gff3", start = 599706, end = 619002),
list(file = "./CP075195.1.gff3", start = 6334564, end = 6353860),
list(file = "./CP081908.1.gff3", start = 1895879, end = 1915175),

list(file = "./CP075193.1.gff3", start = 6327152, end = 6346448),
list(file = "./CP072244.1.gff3", start = 4256679, end = 4275975),
list(file = "./CP072224.1.gff3", start = 6477335, end = 6498039),
list(file = "./CP083679.1.gff3", start = 237666, end = 256962),
list(file = "./CP103274.1.gff3", start = 6666632, end = 6685928),

list(file = "./CP083686.1.gff3", start = 2073830, end = 2093126),
list(file = "./CP103191.1.gff3", start = 599629, end = 618925),
list(file = "./CP103210.1.gff3", start = 6279855, end = 6299151),
list(file = "./CP120351.1.gff3", start = 4932385, end = 4953089),
list(file = "./CP041395.1.gff3", start = 3463008, end = 3482304),
list(file = "./CP012937.1.gff3", start = 2032026, end = 2052730),

list(file = "./CP083673.1.gff3", start = 3785024, end = 3804320),
list(file = "./CP081917.1.gff3", start = 4243762, end = 4264466),
list(file = "./CP103069.1.gff3", start = 5547479, end = 5566775),
list(file = "./CP045612.1.gff3", start = 6082936, end = 6103640),
list(file = "./CP072258.1.gff3", start = 2515244, end = 2535948),
