"Var1"	"Var2"	"value"	"pvalue"
"c_Erysipelotrichi"	"AMP_144897_c3_g1_i5"	-0.880406274042429	0.0205987347749206
"o_Erysipelotrichales"	"AMP_144897_c3_g1_i5"	-0.880406274042429	0.0205987347749206
"f_Erysipelotrichaceae"	"AMP_144897_c3_g1_i5"	-0.880406274042429	0.0205987347749206
"s_Parabacteroides distasonis"	"TRINITY_DN141075_c3_g1_i1"	0.898645105261295	0.0148886220055804
"c_Clostridia"	"TRINITY_DN143020_c3_g1_i1"	0.880406274042429	0.0205987347749206
"o_Clostridiales"	"TRINITY_DN143020_c3_g1_i1"	0.880406274042429	0.0205987347749206
"g_Faecalibacterium"	"TRINITY_DN143020_c3_g1_i1"	0.819688599970537	0.0458371412324534
"s_Parabacteroides distasonis"	"TRINITY_DN143020_c3_g1_i1"	0.94112394811432	0.00509754056486145
"s_Faecalibacterium prausnitzii"	"TRINITY_DN143020_c3_g1_i1"	0.819688599970537	0.0458371412324534
"c_Bacilli"	"TRINITY_DN138200_c2_g1_i1"	0.845154254728517	0.0341094231674095
