amp_id	origin	orgin_complete	overexpressed_group	O 1	O 2	O 3	OMS 1	OMS 2	OMS 3
AMP 4897	Bacteria	Faecalibacterium prausnitzii	O	15	2	26.37	1	1	1
AMP 3683	Bacteria	Faecalibacterium prausnitzii	O	19.34	1	23.62	1	1	3.41
AMP 5865	Bacteria	Faecalibacterium prausnitzii	O	35.11	1	1.93	1	1	2.13
AMP 5575	Bacteria	Faecalibacterium prausnitzii	OMS	1	1	1	12.23	1	7.99
AMP 4624	Bacteria	Phocaeicola	OMS	1	1	1	15.22	1	15.11
AMP 2526	Bacteria	Romboutsia ilealis	OMS	3	1	1	33.13	1	3
AMP 3076	Bacteria	Escherichia coli	OMS	2.15	1	3	43.46	1	31
AMP 5391	Bacteria	Faecalibacterium prausnitzii	OMS	1	1	1	126.58	9.05	9.38
AMP 3096	Bacteria	Phocaeicola	OMS	79.98	7	9	4480.25	1	478
AMP 8200	Bacteria/Plasmid	Bacteroidaceae	O	1	32	3	1	1	1
AMP 3020	Virus	Caudovirales	O	6.06	29	1	1	1	2
AMP 5062	Virus	Uncultured human fecal virus	OMS	1.02	1	1	14.57	1	16.77
AMP 8681	Virus	Caudovirales	OMS	6	1	1	1	58	3
AMP 5245	Virus	Uncultured human fecal virus	OMS	10.31	7	11.41	419.74	1	155.25
AMP 5055	Virus	Uncultured human fecal virus	OMS	1	1	1	137.24	1	51
AMP 1075	Unclassifed	Not assigned	O	18.21	26.15	1	2	1	5
AMP 5192	Unclassifed	Not assigned	OMS	1	1	1	2	1	30
AMP 2823	Unclassifed	No hits	OMS	1	1	1	1	14	5
AMP 4187	Unclassifed	Uncultured human fecal virus	OMS	1	1	1	22.33	1	5.18
AMP 2115	Unclassifed	No hits	OMS	2	1	2	1	32	1
AMP 4483	Unclassifed	NCBI;	OMS	1	1	1	1	20	11
AMP 4653	Unclassifed	Not assigned	OMS	18.49	1	37.91	407.68	56	306.77
AMP 7230	Unclassifed	No hits	OMS	5	1	3	1	70	9
AMP 1511	Unclassifed	No hits	OMS	1	1	1	1	36	5
AMP 2198	Unclassifed	Not assigned	OMS	14.48	1	1	514.04	1	105.75
